"Sample"	"Study"	"Site"	"Region"	"F"	"O"	"C"	"P"
"LOR20_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3246187364	0.2976579521	0.2169117647	0.1456971678
"LOR4_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3476702509	0.3369175627	0.2114695341	0.1505376344
"LOR7_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.2264227642	0.0959349593	0.0714092141	0.0153116531
"LR1_2012"	"Sharp"	"Western Canada"	"Canada"	0.5263157895	0.453769559	0.3257467994	0.1009957326
"LR2_2012"	"Sharp"	"Western Canada"	"Canada"	0.3500429185	0.3145064378	0.1395708155	0.0487553648
"LS1_2012"	"Sharp"	"Western Canada"	"Canada"	0.8159478435	0.6989719157	0.4554914744	0.0962888666
"LS3_2012"	"Sharp"	"Western Canada"	"Canada"	0.6318241103	0.5520775107	0.4387926216	0.1142165083
"LS4_2012"	"Sharp"	"Western Canada"	"Canada"	0.6463165708	0.4494340323	0.4739283726	0.0903692707
"LS8_2012"	"Sharp"	"Western Canada"	"Canada"	0.6325088339	0.4734982332	0.3886925795	0.0883392226
"LSS2_2012"	"Sharp"	"Western Canada"	"Canada"	0.6507177033	0.5406698565	0.2224880383	0.1267942584
"LSS3_2012"	"Sharp"	"Western Canada"	"Canada"	0.6552077989	0.6198050282	0.4068753207	0.0887634684
"M_Filter"	"Huo"	"Pregnancy Spring (Right)"	"China"	0.1228840125	0.1206896552	0.1225705329	0.1144200627
"MBHollow"	"Sharp"	"Western Canada"	"Canada"	0.4987585351	0.4158907511	0.3746120422	0.3041589075
"MBHummock"	"Sharp"	"Western Canada"	"Canada"	0.7041602465	0.5814072933	0.5513610683	0.4152542373
"MBSphagnum"	"Sharp"	"Western Canada"	"Canada"	0.3851769912	0.3205752212	0.3188053097	0.257079646
"MetaG_Plume"	"Anantharaman"	"Guaymas Bay"	"USA"	0.9997086683	0.9994975197	0.9994039728	0.999355863
"MM2_2012"	"Sharp"	"Western Canada"	"Canada"	0.4760167545	0.3744088637	0.3390082421	0.078502905
"MT1_2011"	"Sharp"	"Western Canada"	"Canada"	0.5579731744	0.5177347243	0.2998509687	0.1007451565
"MT2_2011"	"Sharp"	"Western Canada"	"Canada"	0.8801640785	0.4764137123	0.2012891884	0.1255982029
"N_Filter"	"Huo"	"Hydrothermal Explosion (upstream)"	"China"	0.0276923077	0.0235897436	0.021025641	0.0112820513
"N_Sediment"	"Huo"	"Hydrothermal Explosion (upstream)"	"China"	0.0282469837	0.0266855926	0.0264017033	0.0034066714
"NGM1_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3913771452	0.2465466722	0.1745500209	0.04604437
"NGM2_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.5066573231	0.5005255781	0.2841625788	0.1657323055
"NGM4_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3946406821	0.329273244	0.2565976451	0.0625253756
"NGM5_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.7712264151	0.7216981132	0.4599056604	0.1878930818
"NGM52_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.8401997503	0.8589263421	0.734082397	0.145443196
"NGM53_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3463011181	0.2827385511	0.1599019758	0.0842395466
"NGM6_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.8326859875	0.8255153869	0.6653719749	0.179713176
"NGM7_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.7733333333	0.6876190476	0.5161904762	0.1161904762
"NGM7_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.8925564163	0.8844728865	0.8282249916	0.2079824857
"NGM72_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.4363919129	0.2694660446	0.2301710731	0.1189217211
"NGM89_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.6796257248	0.6619662625	0.1632841328	0.1331049025
"NGM95_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.5220673635	0.5110336818	0.0301974448	0.0301974448
"NGW01_2011"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3897515528	0.0947204969	0.0916149068	0
"NGW02_2011"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0923297149	0.0818322796	0.0759871168	0.0553501133
"NGW03_2011"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0007900454	0.0003950227	0.0005925341	0.0001975114
"NM6"	"Wang"	"Nima hot spring #6"	"Tibet"	0.0833333333	0.0694444444	0.0416666667	0.0416666667
"NM7"	"Wang"	"Nima hot spring #7"	"Tibet"	0.5405405405	0.5405405405	0.0810810811	0.0810810811
"NMc"	"Wang"	"Nima soil sample (NMs)?"	"Tibet"	0.2520661157	0.1539256198	0.1797520661	0.0020661157
"NQ4"	"Wang"	"Naqu hot spring #4"	"Tibet"	0.1484848485	0.1393939394	0.0333333333	0.0151515152
"OBB"	"Sharp"	"Western Canada?"	"Canada?"	0.4038216561	0.3464968153	0.2804367607	0.1619654231
"P_Sediment"	"Huo"	"Hydrothermal Explosion (downstream)"	"China"	0.0592893836	0.0545804795	0.051369863	0.0100599315
"P_Sediment_B"	"Huo"	"Hydrothermal Explosion (downstream)"	"China"	0.1072555205	0.1048895899	0.0764984227	0.0141955836
"PB1_2012"	"Sharp"	"Western Canada"	"Canada"	0.4015837104	0.3291855204	0.2386877828	0.0701357466
"PB5_2012"	"Sharp"	"Western Canada"	"Canada"	0.3391521197	0.2943890274	0.3033665835	0.1885286783
"Pool2_2012"	"Sharp"	"Western Canada"	"Canada"	0.8867235079	0.934226553	0.8233861145	0.2606577345
"PR4_2012"	"Sharp"	"Western Canada"	"Canada"	0.5143385754	0.4625346901	0.4500462535	0.1725254394
"PR5_2012"	"Sharp"	"Western Canada"	"Canada"	0.5482824427	0.3386450382	0.2108778626	0.098759542
"PS_Archaea"	"Hamilton"	"Yellowstone National Park"	"USA"	0.9983991462	0.9983991462	0.9957310566	0.0048025614
